A,Table A,Title information (filtered),
A,
A,Running EQ6 from EQ3/6-V8.0a (R43a) for PC,
A,---,
A,
A,Sample: {sample_name},
A,Date created:  2024-01-02 10:21 PM,
A,EQ6 input file generated by AqEquil,
A,,
A,---,
A,
A,data0.dyn,
A,Water model: SUPCRT92,
A,TP points: 1,
A,+--------------------------------------------------------------------,
A,---,
B1,EndTable:,A,
B1,
B1,
B1,Table B1,Miscellaneous parameters I,
B1,Xi,t(days),Temp(C),Press(bars),pH,pmH,log fO2,Eh(v),pe,aw,
B1,0.000,0.000,25.0000,1.1000,8.0000,7.9996,-0.6695,0.7459,12.6088,1.0000,
B1,1.0000E-08,0.000,25.0000,1.1000,8.0136,8.0133,-0.6695,0.7451,12.5952,1.0000,
B1,1.0000E-07,0.000,25.0000,1.1000,8.1202,8.1197,-0.6695,0.7388,12.4887,1.0000,
B1,1.0000E-06,0.000,25.0000,1.1000,8.6146,8.6134,-0.6695,0.7095,11.9943,1.0000,
B1,8.5984E-06,0.000,25.0000,1.1000,9.3877,9.3844,-0.6695,0.6638,11.2211,1.0000,
B1,1.0000E-05,0.000,25.0000,1.1000,9.3894,9.3861,-0.6695,0.6637,11.2194,1.0000,
B1,2.7961E-05,0.000,25.0000,1.1000,9.4253,9.4218,-0.6695,0.6616,11.1835,1.0000,
B1,1.0000E-04,0.000,25.0000,1.1000,9.7377,9.7326,-0.6695,0.6431,10.8712,1.0000,
B1,3.0044E-04,0.000,25.0000,1.1000,10.1857,10.1772,-0.6695,0.6166,10.4232,1.0000,
B1,5.4546E-04,0.000,25.0000,1.1000,10.1857,10.1772,-0.6695,0.6166,10.4232,1.0000,
B1,1.0000E-03,0.000,25.0000,1.1000,10.4352,10.4247,-0.6695,0.6018,10.1736,1.0000,
B1,3.2442E-03,0.000,25.0000,1.1000,10.9356,10.9181,-0.6694,0.5722,9.6733,1.0000,
B1,1.0000E-02,0.000,25.0000,1.1000,10.9356,10.9181,-0.6693,0.5722,9.6733,1.0000,
B1,0.1000,0.000,25.0000,1.1000,10.9356,10.9181,-0.6689,0.5722,9.6735,1.0000,
B1,1.000,0.000,25.0000,1.1000,10.9356,10.9181,-0.6642,0.5723,9.6746,1.0000,
B2,EndTable:,B1,
B2,
B2,
B2,Table B2,Miscellaneous parameters II,
B2,Xi,t(days),H2O(kg),Alk(eq/kg.H2O),Signam(m),I(m),J(m),TDS(g/kg.sol),TDS(g/L),density(g/L),M/m,
B2,0.000,0.000,1.000,1.0124E-06,2.7147E-04,5.1622E-07,-1.6874E-07,0.0087,0.0087,1000.9656,1.0010,
B2,1.0000E-08,0.000,1.000,1.0448E-06,2.7153E-04,5.6540E-07,-1.5224E-07,0.0087,0.0087,1000.9656,1.0010,
B2,1.0000E-07,0.000,1.000,1.3356E-06,2.7208E-04,1.0087E-06,-3.7735E-09,0.0087,0.0087,1000.9656,1.0010,
B2,1.0000E-06,0.000,1.000,4.1770E-06,2.7759E-04,5.4564E-06,1.4801E-06,0.0089,0.0089,1000.9657,1.0010,
B2,8.5984E-06,0.000,1.000,2.4947E-05,3.2087E-04,4.2947E-05,1.3959E-05,0.0102,0.0102,1000.9666,1.0010,
B2,1.0000E-05,0.000,1.000,2.5045E-05,3.2149E-04,4.3345E-05,1.4092E-05,0.0103,0.0103,1000.9666,1.0010,
B2,2.7961E-05,0.000,1.000,2.7204E-05,3.3148E-04,5.0343E-05,1.6428E-05,0.0108,0.0108,1000.9670,1.0010,
B2,1.0000E-04,0.000,1.000,5.5999E-05,3.8593E-04,1.0479E-04,3.4576E-05,0.0127,0.0127,1000.9682,1.0010,
B2,3.0044E-04,0.000,1.000,1.5843E-04,5.7942E-04,2.9807E-04,9.8935E-05,0.0191,0.0191,1000.9723,1.0010,
B2,5.4546E-04,0.000,1.000,1.5844E-04,5.7943E-04,2.9808E-04,9.8937E-05,0.0191,0.0191,1000.9723,1.0010,
B2,1.0000E-03,0.000,1.000,2.8312E-04,7.5474E-04,4.7803E-04,1.5879E-04,0.0230,0.0231,1000.9748,1.0010,
B2,3.2442E-03,0.000,1.000,9.1445E-04,1.6809E-03,1.4034E-03,4.6568E-04,0.0454,0.0454,1000.9891,1.0009,
B2,1.0000E-02,0.000,0.9999,9.1445E-04,1.6809E-03,1.4034E-03,4.6568E-04,0.0454,0.0454,1000.9891,1.0009,
B2,0.1000,0.000,0.9988,9.1445E-04,1.6812E-03,1.4034E-03,4.6568E-04,0.0454,0.0454,1000.9891,1.0009,
B2,1.000,0.000,0.9881,9.1446E-04,1.6842E-03,1.4034E-03,4.6568E-04,0.0455,0.0455,1000.9892,1.0009,
C1,EndTable:,B2,
C1,
C1,
C1,Table C1,Dissolved elements(molality),
C1,Xi,t(days),Cl,Mg,Ca,Si,
J,1.0000E-05,0.000,3.3000E-06,3.3000E-06,3.3000E-06,
J,2.7961E-05,0.000,9.2273E-06,9.2273E-06,9.2273E-06,
J,1.0000E-04,0.000,3.3000E-05,3.3000E-05,3.3000E-05,
J,3.0044E-04,0.000,9.9145E-05,9.9145E-05,9.9145E-05,
J,5.4546E-04,0.000,1.8000E-04,1.8000E-04,1.8000E-04,
J,1.0000E-03,0.000,3.3000E-04,3.3000E-04,3.3000E-04,
J,3.2442E-03,0.000,1.0706E-03,1.0706E-03,1.0706E-03,
J,1.0000E-02,0.000,3.3000E-03,3.3000E-03,1.0706E-03,
J,0.1000,0.000,3.3000E-02,3.3000E-02,1.0706E-03,
J,1.000,0.000,0.3300,0.3300,1.0706E-03,
K,EndTable:,J,
K,
K,
K,Table K,Affinities of reactants (kcal),
K,Xi,t(days),Total,forsterite,enstatite,diopside,
K,0.000,0.000,64.0233,68.0464,42.7563,83.2074,
K,1.0000E-08,0.000,23.2259,26.5506,15.1050,28.7261,
K,1.0000E-07,0.000,18.7013,21.8822,12.0908,22.6977,
K,1.0000E-06,0.000,12.4834,15.1398,8.0576,14.6311,
K,8.5984E-06,0.000,5.5459,7.3569,3.6451,5.8037,
K,1.0000E-05,0.000,5.5063,7.3634,3.6386,5.6837,
K,2.7961E-05,0.000,5.1821,7.4325,3.5695,4.7014,
K,1.0000E-04,0.000,4.6546,7.4325,3.5695,3.1029,
K,3.0044E-04,0.000,4.0427,7.4325,3.5695,1.2485,
K,5.4546E-04,0.000,4.0427,7.4325,3.5695,1.2485,
K,1.0000E-03,0.000,3.9083,7.2968,3.7052,0.8414,
K,3.2442E-03,0.000,3.6307,7.0163,3.9856,-0.0000,
K,1.0000E-02,0.000,3.6307,7.0163,3.9856,-0.0000,
K,0.1000,0.000,3.6307,7.0163,3.9856,-0.0000,
K,1.000,0.000,3.6307,7.0163,3.9856,-0.0000,
P,EndTable:,K,
P,
P,
P,Table P,Moles of product minerals,
P,Xi,t(days),chrysotile,talc,tremolite,diopside,
P,0.000,0.000,
P,1.0000E-08,0.000,
P,1.0000E-07,0.000,
P,1.0000E-06,0.000,
P,8.5984E-06,0.000,5.9815E-10,
P,1.0000E-05,0.000,7.2755E-07,
P,2.7961E-05,0.000,9.8253E-06,6.1693E-09,
P,1.0000E-04,0.000,3.3176E-05,1.0226E-05,
P,3.0044E-04,0.000,9.1664E-05,4.0428E-05,1.2969E-08,
P,5.4546E-04,0.000,1.7252E-04,0.000,4.0442E-05,
P,1.0000E-03,0.000,2.9786E-04,0.000,8.5259E-05,
P,3.2442E-03,0.000,9.2859E-04,0.000,2.9902E-04,0.9989,
P,1.0000E-02,0.000,3.1580E-03,0.000,2.9900E-04,0.9989,
P,0.1000,0.000,3.2858E-02,0.000,2.9867E-04,0.9989,
P,1.000,0.000,0.3299,0.000,2.9547E-04,0.9989,
Q,EndTable:,P,
Q,
Q,
Q,Table Q,Saturation indices of potential product phases,
Q,Xi,t(days),H2O,Gas,brucite,coesite,cristobalite,alpha,cristobalite,beta,quartz,chalcedony,cristobalite,enstatite,chrysotile,periclase,wollastonite,antigorite,diopside,forsterite,monticellite,talc,tremolite,sepiolite,portlandite,akermanite,larnite,
Q,0.000,0.000,-0.0000,0.0000,
Q,1.0000E-08,0.000,-0.0000,0.0000,-8.1518,-4.7016,-4.4421,-4.8856,-3.8916,-4.1628,-4.4421,
Q,1.0000E-07,0.000,-0.0000,0.0000,-6.9393,-3.7048,-3.4453,-3.8888,-2.8948,-3.1660,-3.4453,-8.8623,
Q,1.0000E-06,0.000,-0.0000,0.0000,-4.9534,-2.7344,-2.4749,-2.9184,-1.9244,-2.1956,-2.4749,-5.9061,-8.9391,-9.9908,-8.9414,
Q,8.5984E-06,0.000,-0.0000,0.0000,-2.4830,-1.9705,-1.7110,-2.1545,-1.1605,-1.4317,-1.7110,-2.6718,-0.0000,-7.5204,-5.7054,10.4914,-4.2540,-5.3925,-7.7151,-0.3325,-7.0102,-6.1427,-9.3380,
Q,1.0000E-05,0.000,-0.0000,0.0000,-2.4925,-1.9562,-1.6967,-2.1402,-1.1462,-1.4174,-1.6967,-2.6670,-0.0000,-7.5299,-5.6222,10.5198,-4.1661,-5.3973,-7.6415,-0.3041,-6.8059,-6.0952,-9.2690,
Q,2.7961E-05,0.000,-0.0000,0.0000,-2.5939,-1.8042,-1.5447,-1.9882,-0.9942,-1.2654,-1.5447,-2.6164,-0.0000,-7.6313,-4.9529,10.8239,-3.4460,-5.4479,-7.0734,0.0000,-5.0617,-5.5885,-8.7517,
Q,1.0000E-04,0.000,-0.0000,0.0000,-2.5939,-1.8042,-1.5447,-1.9882,-0.9942,-1.2654,-1.5447,-2.6164,-0.0000,-7.6313,-3.7812,10.8239,-2.2744,-5.4479,-5.9018,-0.0000,-2.7184,-5.5885,-7.5800,
Q,3.0044E-04,0.000,-0.0000,0.0000,-2.5939,-1.8042,-1.5447,-1.9882,-0.9942,-1.2654,-1.5447,-2.6164,-0.0000,-7.6313,-2.4220,10.8239,-0.9152,-5.4479,-4.5425,-0.0000,-0.0000,-5.5885,-6.2208,-8.9377,
Q,5.4546E-04,0.000,-0.0000,0.0000,-2.5939,-1.8042,-1.5447,-1.9882,-0.9942,-1.2654,-1.5447,-2.6164,-0.0000,-7.6313,-2.4220,10.8239,-0.9151,-5.4479,-4.5425,-0.0000,-0.0000,-5.5885,-6.2208,-8.9377,
Q,1.0000E-03,0.000,-0.0000,0.0000,-2.3949,-2.1026,-1.8431,-2.2866,-1.2926,-1.5638,-1.8431,-2.7158,-0.0000,-7.4323,-2.0241,10.2271,-0.6168,-5.3485,-3.9458,-0.5968,-0.0000,-6.5832,-5.5245,-7.9431,
Q,3.2442E-03,0.000,-0.0000,0.0000,-1.9838,-2.7194,-2.4599,-2.9034,-1.9094,-2.1806,-2.4599,-2.9214,0.0000,-7.0212,-1.2018,8.9936,0.0000,-5.1429,-2.7122,-1.8303,0.0000,-8.6390,-4.0854,-5.8872,-7.8938,
Q,1.0000E-02,0.000,-0.0000,0.0000,-1.9838,-2.7194,-2.4599,-2.9034,-1.9094,-2.1806,-2.4599,-2.9214,0.0000,-7.0212,-1.2018,8.9936,0.0000,-5.1429,-2.7122,-1.8303,0.0000,-8.6390,-4.0854,-5.8872,-7.8938,
Q,0.1000,0.000,-0.0000,0.0000,-1.9838,-2.7194,-2.4599,-2.9034,-1.9094,-2.1806,-2.4599,-2.9214,0.0000,-7.0212,-1.2018,8.9936,0.0000,-5.1429,-2.7122,-1.8303,0.0000,-8.6390,-4.0854,-5.8872,-7.8938,
Q,1.000,0.000,-0.0000,0.0000,-1.9838,-2.7194,-2.4599,-2.9034,-1.9094,-2.1806,-2.4599,-2.9214,0.0000,-7.0212,-1.2018,8.9936,0.0000,-5.1429,-2.7122,-1.8303,0.0000,-8.6390,-4.0854,-5.8872,-7.8938,
T,EndTable:,Q,
T,
T,
T,Table T,Fugacities (bars),
T,Xi,t(days),H2O(g),O2(g),H2(g),
T,0.000,0.000,2.5978E-02,0.2140,6.0585E-42,
T,1.0000E-08,0.000,2.5978E-02,0.2140,6.0585E-42,
T,1.0000E-07,0.000,2.5978E-02,0.2140,6.0585E-42,
T,1.0000E-06,0.000,2.5978E-02,0.2140,6.0585E-42,
T,8.5984E-06,0.000,2.5978E-02,0.2140,6.0585E-42,
T,1.0000E-05,0.000,2.5978E-02,0.2140,6.0585E-42,
T,2.7961E-05,0.000,2.5978E-02,0.2140,6.0585E-42,
T,1.0000E-04,0.000,2.5977E-02,0.2140,6.0584E-42,
T,3.0044E-04,0.000,2.5977E-02,0.2140,6.0583E-42,
T,5.4546E-04,0.000,2.5977E-02,0.2140,6.0583E-42,
T,1.0000E-03,0.000,2.5977E-02,0.2141,6.0581E-42,
T,3.2442E-03,0.000,2.5977E-02,0.2141,6.0572E-42,
T,1.0000E-02,0.000,2.5977E-02,0.2141,6.0570E-42,
T,0.1000,0.000,2.5977E-02,0.2144,6.0537E-42,
T,1.000,0.000,2.5977E-02,0.2167,6.0212E-42,
W,EndTable:,T,
W,
W,
W,Table W,Overall mass and volume changes,
W,Xi,t(days),g destroyed,g created,g net,cc destroyed,cc created,cc net,
W,0.000,  0.000,0.000,0.000,0.000,0.000,0.000,0.000,
W,1.0000E-08,  0.000,1.5102E-06,0.000,-1.5102E-06,0.000,0.000,0.000,
W,1.0000E-07,  0.000,1.5102E-05,0.000,-1.5102E-05,0.000,0.000,0.000,
W,1.0000E-06,  0.000,1.5102E-04,0.000,-1.5102E-04,0.000,0.000,0.000,
W,8.5984E-06,  0.000,1.2985E-03,1.6576E-07,-1.2984E-03,0.000,0.000,0.000,
W,1.0000E-05,  0.000,1.5102E-03,2.0161E-04,-1.3086E-03,0.000,0.000,0.000,
W,2.7961E-05,  0.000,4.2227E-03,2.7250E-03,-1.4977E-03,0.000,0.000,0.000,
W,1.0000E-04,  0.000,1.5102E-02,1.3072E-02,-2.0302E-03,0.000,0.000,0.000,
W,3.0044E-04,  0.000,4.5372E-02,4.0745E-02,-4.6275E-03,0.000,0.000,0.000,
W,5.4546E-04,  0.000,8.2376E-02,8.0662E-02,-1.7142E-03,0.000,0.000,0.000,
W,1.0000E-03,  0.000,0.1510,0.1518,7.8320E-04,0.000,0.000,0.000,
W,3.2442E-03,  0.000,0.4899,216.8,216.3,0.000,0.000,0.000,
W,1.0000E-02,  0.000,1.027,217.4,216.4,0.000,0.000,0.000,
W,0.1000,  0.000,8.188,225.7,217.5,0.000,0.000,0.000,
W,1.000,  0.000,79.79,308.0,228.2,0.000,0.000,0.000,
Z,EndTable:,W,
Z,
Z,
Z,Table Z,Endfile,
Z,Endtable:,Z,
